company,period,metric,value,unit,source_url
HKEX,2025-Q2,stock_settlement_fee_max_per_trade,100,HKD,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Circulars-and-Notices/Participant-and-Members-Circulars/HKSCC/2025/019_25_HKSCC_OP_stock-settlement-fee-restructure_e.pdf
HKEX,2025-Q2,stock_settlement_fee_min_per_trade,2,HKD,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Circulars-and-Notices/Participant-and-Members-Circulars/HKSCC/2025/019_25_HKSCC_OP_stock-settlement-fee-restructure_e.pdf
HKEX,2025-Q2,trading_days,60,days,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/250820news/250820news_e.pdf
HKEX,2025-Q2,trading_fee_effective_rate_both_sides,0.009555,pct_of_turnover,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/250820news/250820news_e.pdf
HKEX,2025-Q2,trading_fee_effective_rate_per_side,0.004778,pct_of_consideration,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/250820news/250820news_e.pdf
HKEX,2025-Q2,trading_fee_listed_rate_per_side,0.00565,pct_of_consideration,https://www.hkex.com.hk/Services/Rules-and-Forms-and-Fees/Fees/Securities-(Hong-Kong)/Trading/Transaction?sc_lang=en
HKEX,2025-Q2,trading_tariff_per_side,0.0,HKD_per_side_per_trade,https://www.hkex.com.hk/Services/Rules-and-Forms-and-Fees/Fees/Securities-(Hong-Kong)/Trading/Transaction?sc_lang=en
HKEX,2025-Q3,adt_equity_products,267.9,HKD_bn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/251105news/251105news_e.pdf
HKEX,2025-Q3,cash_seg_clearing_fee_revenue,1105,HKD_mn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/251105news/251105news_e.pdf
HKEX,2025-Q3,cash_seg_trading_fee_revenue,1637,HKD_mn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/251105news/251105news_e.pdf
HKEX,2025-Q3,clearing_fee_effective_rate_both_sides,0.006346,pct_of_turnover,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/251105news/251105news_e.pdf
HKEX,2025-Q3,clearing_fee_effective_rate_per_side,0.003173,pct_of_gross_value,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/251105news/251105news_e.pdf
HKEX,2025-Q3,stock_clearing_fee_exchange_trade,0.0,HKD,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
HKEX,2025-Q3,stock_settlement_fee_crossed_trade_per_side,0.0021,pct_of_gross_value,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
HKEX,2025-Q3,stock_settlement_fee_listed_rate_per_side,0.0042,pct_of_gross_value,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
HKEX,2025-Q3,stock_settlement_fee_max_per_trade,0,HKD_none,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
HKEX,2025-Q3,stock_settlement_fee_min_per_trade,0,HKD_none,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
HKEX,2025-Q3,trading_days,65,days,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/251105news/251105news_e.pdf
HKEX,2025-Q3,trading_fee_effective_rate_both_sides,0.009401,pct_of_turnover,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/251105news/251105news_e.pdf
HKEX,2025-Q3,trading_fee_effective_rate_per_side,0.0047,pct_of_consideration,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/251105news/251105news_e.pdf
HKEX,2025-Q3,trading_fee_listed_rate_per_side,0.00565,pct_of_consideration,https://www.hkex.com.hk/Services/Rules-and-Forms-and-Fees/Fees/Securities-(Hong-Kong)/Trading/Transaction?sc_lang=en
HKEX,2025-Q3,trading_tariff_per_side,0.0,HKD_per_side_per_trade,https://www.hkex.com.hk/Services/Rules-and-Forms-and-Fees/Fees/Securities-(Hong-Kong)/Trading/Transaction?sc_lang=en
HKEX,2025-Q4,adt_equity_products,209.7,HKD_bn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260226news/260226news_eng.pdf
HKEX,2025-Q4,cash_seg_clearing_fee_revenue,842,HKD_mn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260226news/260226news_eng.pdf
HKEX,2025-Q4,cash_seg_trading_fee_revenue,1242,HKD_mn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260226news/260226news_eng.pdf
HKEX,2025-Q4,clearing_fee_effective_rate_both_sides,0.006582,pct_of_turnover,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260226news/260226news_eng.pdf
HKEX,2025-Q4,clearing_fee_effective_rate_per_side,0.003291,pct_of_gross_value,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260226news/260226news_eng.pdf
HKEX,2025-Q4,stock_clearing_fee_exchange_trade,0.0,HKD,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
HKEX,2025-Q4,stock_settlement_fee_crossed_trade_per_side,0.0021,pct_of_gross_value,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
