month,funded_customers_mn,total_platform_assets_usdbn,net_deposits_usdbn,eqopt_trading_days,crypto_trading_days,vol_equity_usdbn,vol_options_mn,vol_crypto_usdbn,vol_crypto_app_usdbn,vol_crypto_bitstamp_usdbn,vol_event_bn,adv_equity_usdbn,adv_options_mn,adv_crypto_usdmn,adv_crypto_app_usdmn,adv_crypto_bitstamp_usdmn,adv_event_mn,dats_equity_mn,dats_options_mn,dats_crypto_mn,margin_book_usdbn,cash_and_deposits_usdbn,cash_sweep_usdbn,seclend_total_usdmn,seclend_net_usdmn
2023-01,23.0,74.7,1.4,20.0,31,46.0,82.9,3.7,3.7,0.0,0.0,2.3,4.1,119,119,0,0,1.5,0.6,0.3,3.0,10.6,7.1,13,7
2023-02,23.1,74.7,1.5,19.0,28,57.3,89.4,3.5,3.5,0.0,0.0,3.0,4.7,125,125,0,0,1.6,0.7,0.2,3.3,10.0,8.0,17,10
2023-03,23.1,78.4,1.5,23.0,31,56.8,100.1,3.9,3.9,0.0,0.0,2.5,4.4,126,126,0,0,1.6,0.6,0.2,3.1,10.4,8.9,15,9
2023-04,23.1,77.4,1.4,19.0,30,38.9,75.3,3.7,3.7,0.0,0.0,2.0,4.0,123,123,0,0,1.4,0.5,0.2,3.1,9.9,9.6,18,11
2023-05,23.1,81.8,1.6,22.0,31,49.4,97.5,2.1,2.1,0.0,0.0,2.2,4.4,68,68,0,0,1.5,0.6,0.2,3.1,10.5,11.2,15,9
2023-06,23.2,88.8,1.1,21.0,30,66.9,110.5,3.3,3.3,0.0,0.0,3.2,5.3,110,110,0,0,1.7,0.7,0.2,3.3,10.8,11.9,15,7
2023-07,23.2,94.5,1.4,19.5,31,69.2,106.1,3.4,3.4,0.0,0.0,3.5,5.4,110,110,0,0,1.7,0.7,0.2,3.4,10.7,12.7,17,8
2023-08,23.2,89.7,1.6,23.0,31,59.8,107.3,2.2,2.2,0.0,0.0,2.6,4.7,71,71,0,0,1.5,0.6,0.2,3.5,9.8,13.3,17,7
2023-09,23.3,86.5,1.0,20.0,30,44.2,87.3,1.2,1.2,0.0,0.0,2.2,4.4,40,40,0,0,1.5,0.6,0.1,3.6,9.2,13.6,10,1
2023-10,23.3,84.6,1.0,22.0,31,50.8,96.6,2.3,2.3,0.0,0.0,2.3,4.4,74,74,0,0,1.4,0.6,0.2,3.5,9.0,13.9,11,2
