column,break_month,footnote,athex_memo_column,official_footnote
adv_cash_equities_adnv_eurbn,2021-05,Equity Markets (3),athex_adv_cash_equities_adnv_eurbn,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_equities_adnv_eurbn,2025-11,Equity Markets (3),athex_adv_cash_equities_adnv_eurbn,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_etf_adnv_eurbn,2015-01,Equity Markets (2),athex_adv_cash_etf_adnv_eurbn,ETC figures transfered from Structured Products to ETFs since January 2015
adv_cash_etf_adnv_eurbn,2017-01,Equity Markets (3),athex_adv_cash_etf_adnv_eurbn,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_etf_adnv_eurbn,2018-01,Equity Markets (3),athex_adv_cash_etf_adnv_eurbn,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_etf_adnv_eurbn,2021-05,Equity Markets (3),athex_adv_cash_etf_adnv_eurbn,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_etf_adnv_eurbn,2025-11,Equity Markets (3),athex_adv_cash_etf_adnv_eurbn,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_structured_adnv_eurbn,2015-01,Equity Markets (2),,ETC figures transfered from Structured Products to ETFs since January 2015
adv_cash_structured_adnv_eurbn,2017-01,Equity Markets (3),,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_structured_adnv_eurbn,2018-01,Equity Markets (3),,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_structured_adnv_eurbn,2021-05,Equity Markets (3),,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_cash_structured_adnv_eurbn,2025-11,Equity Markets (3),,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_shares_cleared_kcontracts,2017-01,Equity Markets (3),athex_adv_shares_cleared_kcontracts,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_shares_cleared_kcontracts,2018-01,Equity Markets (3),athex_adv_shares_cleared_kcontracts,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_shares_cleared_kcontracts,2021-05,Equity Markets (3),athex_adv_shares_cleared_kcontracts,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_shares_cleared_kcontracts,2023-11,Equity Markets (4),athex_adv_shares_cleared_kcontracts,"Shares volumes of Euronext legacy markets have been integrated following the Euronext Clearing expansion that occured on 6 November 2023 for Brussels, and on 27 November 2023 for Amsterdam, Dublin, Paris, and Lisbon. Clearing volumes for November have been restated accordingly."
adv_shares_cleared_kcontracts,2025-11,Equity Markets (3),athex_adv_shares_cleared_kcontracts,"Includes figures from Euronext Dublin since January 2017, Euronext Oslo since January 2018, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
adv_index_futures_kcontracts,2019-07,Equity Markets (5),athex_adv_index_futures_kcontracts,"Includes figures from Euronext Oslo since July 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
