month,sec_trading_days,sec_turnover_mnshares,sec_turnover_sgdmn,sdav_sgdmn,listed_securities,mktcap_sgdmn,turnover_velocity_pct,deriv_vol_contracts,ddav_contracts,deriv_futures_vol_contracts,deriv_options_vol_contracts,deriv_swaps_vol_contracts,deriv_oi_contracts,vol_equity_index_futures_contracts,vol_a50_futures_contracts,vol_nikkei225_futures_contracts,vol_nifty50_futures_contracts,vol_msci_singapore_futures_contracts,vol_msci_taiwan_futures_contracts,vol_ftse_taiwan_futures_contracts,vol_fx_futures_contracts,vol_usdcnh_futures_contracts,vol_inrusd_futures_contracts,vol_rates_futures_contracts,vol_iron_ore_contracts,vol_commodities_contracts,vol_crypto_contracts,ipos_count,delistings_count,ipo_funds_sgdmn,new_bond_listings,bond_funds_sgdmn
2016-11,22,44220,29313,1332,759,923313,,16550604,770677,15542093,981298,27213,4333976,12813835,6407934,1898404,1993078,718494,1723839,,701870,98145,592868,37842,2170508,2444533,,1,2,8,24,8476
2016-12,21,36760,20923,996,757,925994,,13258848,613282,12822365,425800,10683,3679973,11104894,5599374,1944216,1539210,643733,1308080,,551316,68792,474766,67900,991380,1190576,,0,2,123,125,53005
2017-01,20,39044,20946,1047,759,962989,,11679327,627742,11183253,487774,8300,3777967,9569767,4470222,1617688,1466302,683776,1258993,,584307,107858,467398,18133,1021015,1178996,,2,0,150,36,16638
2017-02,20,60763,28183,1409,754,977097,,12467668,669458,11768300,690472,8896,4238703,9946187,4677130,1410342,1540576,745952,1479303,,588331,92008,488389,31033,1307825,1486392,,0,5,49,87,37603
2017-03,23,56349,29125,1266,753,1002372,,15703754,694413,14928969,759539,15246,4332099,12392339,5728270,2055264,1826372,855560,1813669,,744327,98992,635520,78670,1823356,2001639,,1,2,44,66,46918
2017-04,19,46141,21560,1135,752,1010410,,13552229,734693,12858616,674829,18784,4297942,10969369,5189616,1644481,1611573,811332,1607595,,575660,77506,487640,24625,1347433,1507891,,2,3,31,96,44371
2017-05,21,45578,26474,1261,751,1009286,,14729713,717584,13841093,878696,9924,4568713,11840499,5860759,1539928,1796700,869596,1652439,,749143,106409,632024,36876,1367338,1527883,,0,1,13,87,41238
2017-06,21,40962,22352,1064,752,1016366,,15583654,715902,14682321,888604,12729,4326276,12669344,5978754,2118956,1731368,815601,1898117,,715186,163047,541809,84397,1366029,1538116,,4,3,232,104,49668
2017-07,21,53458,25508,1215,754,1030801,,14215131,681772,13362416,842127,10588,4494874,11299139,5550844,1357698,1870408,901100,1481006,,759983,150567,596763,26760,1315606,1495487,,4,2,2410,74,31435
2017-08,22,43419,25926,1178,753,1028759,,15904631,710855,14612558,1276672,15401,4965334,12292950,6087300,1763978,1829316,832042,1634743,,800350,181120,604857,31848,1683713,1892017,,0,1,0,109,41414
2017-09,20,35680,21790,1089,754,1021395,,16030161,773543,14826457,1198062,5642,4995036,12092478,5222971,2274188,1901867,871774,1683827,,1293796,279424,999971,75156,1447981,1685195,,1,0,58,164,67440
2017-10,21,41085,23970,1141,749,1056065,,14941946,786473,13477510,1460338,4098,5166111,11288112,4914004,1906085,1857025,871488,1614047,,1041417,208235,823149,28396,1139840,1301913,,0,5,0,59,23377
2017-11,22,51429,28490,1295,752,1058822,,18048592,836369,16675451,1367997,5144,5461430,14230608,7312387,2320626,1879520,884830,1680845,,1206247,227352,967836,31932,1218983,1424467,,5,2,1585,80,29969
2017-12,20,29775,19178,959,750,1052167,,15638522,757869,14607985,1024911,5626,4687337,12573294,6414773,1715412,1875564,869734,1510284,,937888,209587,709780,81136,977041,1121765,,1,3,25,150,50196
2018-01,22,47961,29383,1336,749,1073674,,18072003,847384,17046025,1021527,4451,4839056,14481011,7724993,1815575,2002487,935582,1828163,,1443367,297011,1127178,30334,1117592,1340709,,1,2,32,59,25077
2018-02,19,43247,32784,1725,746,1058521,,18076631,1095721,16800733,1273193,2705,4834232,14695578,7142349,2341759,2177421,970227,1780309,,1172395,243089,915032,23501,932050,1089931,,0,3,0,93,40246
2018-03,21,37901,27716,1320,745,1029214,43,17362955,822594,15897432,1458616,6907,4742057,13504214,6006465,2751511,1917360,831721,1762861,,1009012,333353,653359,65456,1353402,1586620,,2,3,443,139,60875
2018-04,21,37926,26722,1272,744,1053152,40,15246650,800107,14085198,1157883,3569,5042827,11948384,5772400,1618423,1654808,942305,1689538,,1085624,282097,786438,28724,931085,1157779,,2,3,66,85,46781
2018-05,21,36325,28194,1343,745,1025842,43,16631658,762513,15187836,1441348,2474,5580192,12415895,6242639,1459387,1720175,912183,1666037,,1684211,356473,1316576,28293,1036198,1250479,,1,0,16,102,37771
2018-06,20,35008,24289,1214,746,991112,41,17822349,900546,16417323,1404120,906,5348459,13501180,6474059,1873855,1656101,795709,1619092,,1846823,423329,1401008,78781,934045,1235384,,1,0,5,40,11556
2018-07,22,38116,24570,1117,745,997855,37,16904671,775063,15770904,1132297,1470,5512195,13000295,7317422,1532489,1530065,781627,1715362,,1701416,614852,1078353,29754,986906,1260339,,3,4,143,97,35026
2018-08,21,34132,23523,1120,745,970243,38,18793049,834378,17523764,1267433,1847,5732099,14664763,8556362,1674172,1545568,772528,1655876,,1652824,645235,995500,28907,1171606,1435701,,1,1,12,94,32356
2018-09,20,29883,19418,971,745,974797,33,18520539,984114,17673956,845543,1040,5503367,15040752,7655487,1943625,1861002,748013,1583896,,1635127,469757,1144198,70172,792269,1035298,,1,1,13,56,24441
2018-10,23,40344,24317,1057,744,922498,38,22003206,1098441,20797331,1203943,1932,5748276,17792244,9399423,2668090,2171002,930076,2273866,,1662202,443308,1201639,30101,1206419,1473376,,1,2,4,156,39289
2018-11,21,35066,21596,1028,739,949093,36,19636752,925092,18619105,1015163,2484,5905183,15113299,8507355,1789560,1586053,849183,1786828,,1719162,576014,1128085,24329,1612903,1883253,,0,5,0,112,68806
2018-12,20,21257,16744,837,741,936869,30,18348303,929865,17441787,905055,1461,5225016,14364721,7229927,2344662,1556034,763271,1590258,,1757544,654125,1066739,82833,1078926,1272789,,2,0,15,28,14196
2019-01,22,32333,21683,986,742,963984,34,18614593,867843,17428670,1184236,1687,5691045,13769316,7488026,1631290,1798179,803054,1807072,,1872510,730303,1126025,21538,1759790,2042777,,1,0,13,54,25485
2019-02,18,23448,19075,1060,740,970836,38,18202625,1111517,17097075,1104435,1115,5884335,14185282,8623963,1433785,1594505,742710,1412694,,1603575,565267,1001072,18809,1175385,1438467,,0,2,0,100,42866
2019-03,21,21440,21558,1027,742,969136,36,23346859,1137796,22037963,1307620,1276,5952260,18610570,11438737,2024727,1644640,833509,1613240,,1876329,644212,1175384,66636,1483583,1758957,,3,1,25,122,65225
2019-04,21,22891,21966,1046,740,997974,37,20828957,1019774,19556189,1271270,1498,6290782,16440508,10551964,1513951,1560457,916170,1649096,,1518815,595917,903089,19516,1609235,1899878,,0,2,0,145,61657
2019-05,21,22874,23113,1101,739,951516,41,24245648,1174449,22736429,1507854,1365,6528435,19086307,11380409,1983630,2175018,1005822,2134700,,1846816,824827,974106,19899,1938349,2229147,,3,4,1460,39,13238
2019-06,19,22620,21900,1153,738,981400,36,20812816,1078558,19341275,1469759,1782,6614339,15433302,7670491,2021510,1644296,893388,1811855,,2001678,903350,1034490,68436,1957417,2172929,,1,2,12,53,26832
2019-07,23,28248,24311,1057,740,978166,33,18939761,830347,17371289,1566743,1729,6811438,13468729,7249930,1542440,1782637,1022035,1739662,,2090410,803839,1239300,15081,1809521,2106215,,2,0,845,128,61353
2019-08,20,23795,23752,1188,736,917440,38,23557526,1106401,21609881,1946118,1527,6822339,16734488,8861200,2321814,2110557,1018618,2031297,,2623893,965241,1599279,22312,2477443,2740789,,1,3,0,92,39451
2019-09,21,19935,19743,940,734,913977,31,19388399,980486,18172036,1215173,1190,6480229,14224532,6552185,2049103,1967035,775934,1750102,,2272683,818619,1405119,71097,1566431,1798677,,0,2,0,50,24019
2019-10,22,22416,21571,980,731,938190,31,16831765,855135,15583038,1247798,929,6550839,12244152,5805272,1759938,1717898,889240,1957411,,1850649,634737,1174573,23620,1273389,1493216,,1,4,740,118,54195
