month,report_date,filing_date,accession,days_in_period,payment_rate_pct,portfolio_yield_pct,excess_spread_pct_group1,n_series_at_that_es,ending_principal_receivables_usd,ending_total_receivables_usd,ending_total_principal_balance_usd,ending_transferor_amount_usd,beginning_accounts,ending_accounts,total_fc_collections_usd,fc_collections_excl_recoveries_usd,recoveries_usd,total_principal_collections_usd,new_principal_receivables_usd,defaulted_amount_usd,net_default_amount_usd,ann_default_rate_pct,ann_recovery_rate_pct,ann_default_rate_net_pct,dq3160_usd,dq3160_pct,dq6190_usd,dq6190_pct,dq91120_usd,dq91120_pct,dq120p_usd,dq120p_pct,dq30p_usd,dq30p_pct
2019-04,2019-04-30,2019-05-15,0001193125-19-147430,30.0,37.086,23.1375,18.6252,12,30401775348.6,31447348597.09,30401775348.6,6773909348.6,16269319.0,16259944.0,632372670.6,618296116.75,14076553.85,11291770544.58,11299353131.17,53348518.17,39271964.32,2.135,0.56,1.5716,76642425.0,0.24,67015083.0,0.21,54648750.0,0.17,91034972.0,0.29,289341229.0,0.92
2019-05,2019-05-31,2019-06-17,0001193125-19-174460,31.0,36.4349,22.1807,18.2115,11,30596088791.82,31650678838.33,30596088791.82,10284891791.82,16259944.0,16250167.0,628380026.99,614591516.99,13788510.0,11446094700.51,11696067461.05,55659317.32,41870807.32,2.1419,0.53,1.6113,81569664.0,0.26,58292310.0,0.18,56354641.0,0.18,89612613.0,0.28,285829228.0,0.9
2019-06,2019-06-30,2019-07-15,0001193125-19-193771,30.0,36.3951,23.0704,18.3598,11,30593093482.09,31656433459.92,30593093482.09,10281896482.09,16250167.0,16236028.0,631781746.75,617948309.99,13833436.76,11135485721.95,11184109797.92,51619385.7,37785948.94,2.0529,0.55,1.5027,86401751.0,0.27,62303667.0,0.2,50364891.0,0.16,92938529.0,0.29,292008838.0,0.92
2019-07,2019-07-31,2019-08-15,0001193125-19-222170,31.0,35.7415,22.2636,18.2961,11,30450421699.92,31529496413.76,30450421699.92,10139224699.92,16236028.0,16226603.0,631462117.78,616346150.45,15115967.33,11298905842.06,11209216398.91,52982339.02,37866371.69,2.0487,0.58,1.4642,92940977.0,0.29,65744749.0,0.21,53632170.0,0.17,89736959.0,0.28,302054855.0,0.96
2019-08,2019-08-31,2019-09-16,0001193125-19-245447,31.0,36.1225,22.73,18.7714,11,30350183801.82,31426529763.33,30350183801.82,10038986801.82,16226603.0,16216876.0,644292016.78,629647248.16,14644768.62,11366091142.94,11322301554.42,56448309.58,41803540.96,2.1899,0.57,1.6217,90458691.0,0.29,69136713.0,0.22,54989894.0,0.17,87980730.0,0.28,302566027.0,0.96
2019-09,2019-09-30,2019-10-15,0001193125-19-267499,30.0,35.1976,22.9519,18.3093,12,30062116862.91,31143805546.2,30062116862.91,7459945862.91,16216876.0,16203579.0,623087443.9,609199927.45,13887516.45,10682548327.03,10445026214.41,50544826.29,36657309.84,2.0456,0.56,1.4836,97678058.0,0.31,69450518.0,0.22,60030389.0,0.19,91364769.0,0.29,318523734.0,1.02
2019-10,2019-10-31,2019-11-15,0001193125-19-293155,31.0,35.2185,21.6923,17.7349,12,30060731172.97,31156071363.79,30060731172.97,8089552172.97,16203579.0,16192092.0,607682714.32,592574180.76,15108533.56,10940351410.21,10992796028.78,53830308.51,38721774.95,2.1084,0.59,1.5167,98718243.0,0.32,72206519.0,0.23,58226508.0,0.19,97212013.0,0.31,326363283.0,1.05
2019-11,2019-11-30,2019-12-16,0001193125-19-314884,30.0,36.0244,22.7748,18.0895,12,30124009253.79,31212433307.18,30124009253.79,8152830253.79,16192092.0,15996793.0,617397576.21,604194904.07,13202672.14,10829192970.7,10947160214.41,54689162.89,41486490.75,2.2088,0.53,1.6756,93941738.0,0.3,73944385.0,0.24,61441226.0,0.2,99523648.0,0.32,328850996.0,1.05
2019-12,2019-12-31,2020-01-15,0001193125-20-007849,31.0,37.013,21.5094,17.5485,12,31128909749.33,32230018541.51,31128909749.33,9158922749.33,15996793.0,15981397.0,608374633.98,594240084.42,14134549.56,11521458484.55,12584420262.26,58061282.17,43926732.61,2.1961,0.53,1.6615,92103500.0,0.29,71420657.0,0.22,62979598.0,0.2,99494955.0,0.31,325998709.0,1.01
2020-01,2020-01-31,2020-02-18,0001193125-20-039959,31.0,37.4576,22.7499,18.8128,12,29740018979.64,30844948224.25,29740018979.64,7770031979.64,15981397.0,15788955.0,655671971.46,640816530.06,14855441.4,12048826676.52,10714139928.62,54204021.79,39348580.39,2.146,0.59,1.5578,87672839.0,0.28,69932514.0,0.23,58808501.0,0.19,103228800.0,0.33,319642655.0,1.04
